country, order_value_EUR , cost ,date,category,customer_name,sales_manager,sales_rep,device_type,order_id
Sweden,12/23/1947,14122.61,"Wednesday, February 12, 2020",Books,Goldner-Dibbert,Maxie Marrow,Madelon Bront,Mobile,70-0511466
Finland,2/19/2219,92807.78,"Thursday, September 26, 2019",Games,Hilll-Vandervort,Hube Corey,Wat Bowkley,Mobile,28-6585323
Portugal,9/10/2711,257480.34,"Thursday, July 11, 2019",Clothing,Larkin-Collier,Celine Tumasian,Smitty Culverhouse,PC,58-7703341
Portugal,1/22/2104,59752.32,"Thursday, April 2, 2020",Beauty,Hessel-Stiedemann,Celine Tumasian,Aurelie Wren,PC,14-6700183
Spain,6/7/2389,146621.76,"Sunday, December 22, 2019",Games,Johns and Sons,Emalia Dinse,Bertha Walbrook,Tablet,15-8765160
Spain,6/11/2132,73701.9,"Tuesday, July 14, 2020",Clothing,"Farrell, Swaniawski and Crist",Emalia Dinse,Perri Aldersley,PC,60-6998932
Portugal,1/31/2096,62245.01,"Tuesday, February 5, 2019",Books,Schoen-Keeling,Celine Tumasian,Smitty Culverhouse,PC,69-6259390
UK,9/17/2328,126599.15,"Sunday, August 30, 2020",Accessories,"Hermiston, Simonis and Wisoky",Jessamine Apark,Winny Agnolo,PC,64-5761908
Portugal,10/25/2114,63537.82,"Sunday, May 10, 2020",Appliances,Hessel-Stiedemann,Celine Tumasian,Smitty Culverhouse,Mobile,91-4126746
France,6/26/2077,56043.63,"Sunday, January 20, 2019",Appliances,Gislason-Stanton,Othello Bowes,Maighdiln Upcraft,PC,62-3312495
Sweden,8/6/2290,120808.16,"Saturday, May 4, 2019",Appliances,"Swaniawski, Runolfsson and Green",Maxie Marrow,Madelon Bront,PC,85-6625096
UK,7/16/2082,52811.83,"Saturday, February 23, 2019",Smartphones,Gislason-Stanton,Jessamine Apark,Winny Agnolo,PC,25-6368157
Portugal,11/9/2274,114790.05,"Saturday, January 4, 2020",Outdoors,Hessel-Stiedemann,Celine Tumasian,Aurelie Wren,Tablet,15-3943365
UK,9/3/2351,132686.74,"Saturday, July 20, 2019",Accessories,Wisoky Inc,Jessamine Apark,Winny Agnolo,PC,32-3534634
UK,4/11/2309,118662.2,"Tuesday, August 6, 2019",Beauty,Johns and Sons,Jessamine Apark,Genevra Charrisson,PC,02-3972649
Sweden,1/21/2048,46102.28,"Sunday, November 8, 2020",Books,Tillman and Sons,Maxie Marrow,Anita Woakes,PC,08-7576451
France,4/26/2194,91364.06,"Tuesday, February 26, 2019",Smartphones,"Rowe, Hermiston and Kessler",Othello Bowes,Amelina Piscopiello,PC,68-3583935
UK,9/29/1980,24285.19,"Friday, November 22, 2019",Games,Tillman and Sons,Jessamine Apark,Jay Morefield,PC,53-7769693
Portugal,4/7/2304,124193.9,"Wednesday, June 5, 2019",Smartphones,Goldner-Dibbert,Celine Tumasian,Corene Shirer,PC,85-4732103
Portugal,5/29/2329,134709.28,"Monday, May 11, 2020",Smartphones,Stamm Inc,Celine Tumasian,Corene Shirer,PC,27-9800293
Spain,11/23/2122,64747.04,"Wednesday, November 6, 2019",Electronics,Johns and Sons,Emalia Dinse,Bertha Walbrook,PC,67-3929836
Sweden,4/13/2055,45101.78,"Sunday, March 10, 2019",Clothing,Johns and Sons,Maxie Marrow,Alyosha Meah,PC,13-0526029
Netherlands,8/14/1946,14102.75,"Friday, February 7, 2020",Clothing,Johns and Sons,Denice Amberg,Nero Harbisher,PC,38-5910704
Finland,5/29/2547,205674.91,"Wednesday, December 23, 2020",Clothing,Hessel-Stiedemann,Hube Corey,Wat Bowkley,PC,41-6407014
Portugal,8/16/2373,142975.55,"Wednesday, June 10, 2020",Beauty,Romaguera-Dietrich,Celine Tumasian,Hortense Gerring,PC,22-6745595
Sweden,11/27/2031,41405.52,"Friday, August 14, 2020",Books,Franecki-White,Maxie Marrow,Anita Woakes,PC,96-3022721
